iter	RMSE
0	24.38499398
1	23.90010839
2	23.43914702
3	23.04045576
4	22.66086452
5	22.29250522
6	21.96239711
7	21.82696789
8	21.53954466
9	21.22505939
10	20.93768942
11	20.82851845
12	20.57911298
13	20.35945029
14	20.26144639
15	20.046357
16	19.84081286
17	19.67050093
18	19.60862587
19	19.4627374
20	19.38994975
21	19.25141573
22	19.12195659
23	19.0455016
24	18.91454865
25	18.79327166
26	18.72658927
27	18.66492209
28	18.62231048
29	18.55605976
30	18.51265006
31	18.41193261
32	18.3017063
33	18.19264771
34	18.15727923
35	18.08828499
36	18.06721123
37	17.95744966
38	17.87974226
39	17.79478758
40	17.73196739
41	17.6843789
42	17.66542513
43	17.60177103
44	17.5416788
45	17.49592301
46	17.4323089
47	17.3928052
48	17.32465007
49	17.25141312
50	17.22093932
51	17.17714125
52	17.12558552
53	17.06094394
54	17.04179335
55	17.00038295
56	16.99045283
57	16.96219035
58	16.92684954
59	16.86379598
60	16.8540906
61	16.79282216
62	16.78026383
63	16.72727435
64	16.70104494
65	16.66496373
66	16.64353976
67	16.62358787
68	16.6090415
69	16.58689296
70	16.56358727
71	16.52328589
72	16.46541027
73	16.4351702
74	16.42541986
75	16.37903792
76	16.27899171
77	16.25700309
78	16.22860228
79	16.20838629
80	16.17379554
81	16.16286756
82	16.12138329
83	16.07617419
84	16.05373198
85	16.03919147
86	16.02886487
87	15.99601774
88	15.97687739
89	15.96682416
90	15.95447614
91	15.93303801
92	15.9237314
93	15.91458632
94	15.89404642
95	15.83102921
96	15.82633854
97	15.76855258
98	15.75340567
99	15.71110268
100	15.70346979
101	15.69571983
102	15.69311051
103	15.68909793
104	15.67174046
105	15.62627164
106	15.60470157
107	15.57361953
108	15.56461859
109	15.54677993
110	15.53177801
111	15.45530644
112	15.43968724
113	15.41150012
114	15.38597627
115	15.3368138
116	15.32037317
117	15.31169609
118	15.2816815
119	15.2109964
120	15.14599679
121	15.13855463
122	15.13065912
123	15.10125436
124	15.09067308
125	15.08618654
126	15.0665109
127	15.0613873
128	15.00911974
129	15.00408569
130	14.98275565
131	14.97406283
132	14.96006185
133	14.94576348
134	14.93597497
135	14.91948387
136	14.91195475
137	14.85171021
138	14.82562654
139	14.81966443
140	14.76490034
141	14.75238926
142	14.73010984
143	14.71668062
144	14.6947679
145	14.6713755
146	14.65412136
147	14.64590143
148	14.63828249
149	14.6255235
150	14.61997481
151	14.60905936
152	14.55458532
153	14.54156923
154	14.52113452
155	14.50857519
156	14.49614044
157	14.4887639
158	14.48443993
159	14.47938753
160	14.43726503
161	14.42681048
162	14.4195245
163	14.41346048
164	14.40585841
165	14.38563613
166	14.33902391
167	14.3232805
168	14.30397677
169	14.29615446
170	14.28120706
171	14.23687022
172	14.23190863
173	14.21888909
174	14.21493388
175	14.20247936
176	14.19206189
177	14.17923096
178	14.16719405
179	14.15084588
180	14.14249772
181	14.13287922
182	14.10279583
183	14.09427719
184	14.06663968
185	14.06080337
186	14.05140063
187	14.03762054
188	14.02908348
189	14.01996074
190	14.00621144
191	13.99353478
192	13.98864182
193	13.9834781
194	13.97324517
195	13.9611627
196	13.95322833
197	13.94150563
198	13.9284037
199	13.92211198
200	13.90337649
201	13.88530006
202	13.88163353
203	13.86472677
204	13.84848547
205	13.82086642
206	13.81724332
207	13.80983677
208	13.79838051
209	13.76757043
210	13.75365888
211	13.73967244
212	13.73114498
213	13.70260701
214	13.69919676
215	13.67568849
216	13.66662401
217	13.65484649
218	13.6485895
219	13.64455097
220	13.63445492
221	13.62664337
222	13.59784187
223	13.59328402
224	13.58777104
225	13.56363486
226	13.55379597
227	13.54751098
228	13.54368401
229	13.53298499
230	13.52097065
231	13.51521046
232	13.50569845
233	13.50242314
234	13.49135599
235	13.48402078
236	13.47287352
237	13.46902137
238	13.46248061
239	13.45689725
240	13.45280483
241	13.44476148
242	13.42436947
243	13.41694721
244	13.40849274
245	13.38911894
246	13.38155798
247	13.3753104
248	13.36407781
249	13.35898981
250	13.35269818
251	13.33191028
252	13.32490343
253	13.31326865
254	13.30369309
255	13.29769073
256	13.2877342
257	13.28320654
258	13.27366802
259	13.26784174
260	13.26317475
261	13.25640851
262	13.24739942
263	13.24405814
264	13.24050261
265	13.22218569
266	13.21425903
267	13.19691879
268	13.19451323
269	13.18656432
270	13.18324737
271	13.17901321
272	13.17471847
273	13.15736367
274	13.15431748
275	13.15153326
276	13.14813089
277	13.14074888
278	13.13674714
279	13.12757841
280	13.12335367
281	13.11475059
282	13.10685908
283	13.09985015
284	13.09430468
285	13.08864803
286	13.08389562
287	13.08098188
288	13.06564524
289	13.0618487
290	13.05037307
291	13.04733531
292	13.04370236
293	13.03892602
294	13.03246457
295	13.0246105
296	13.01873401
297	13.01503665
298	13.00997971
299	13.00735268
300	13.00399061
301	12.99994516
302	12.99489436
303	12.98728176
304	12.98398087
305	12.98103002
306	12.97537402
307	12.97197821
308	12.96521102
309	12.95700436
310	12.95177395
311	12.94601144
312	12.94381153
313	12.93826685
314	12.92468981
315	12.91796266
316	12.91519313
317	12.90960574
318	12.90754661
319	12.90408798
320	12.90153773
321	12.89738013
322	12.89020686
323	12.8858782
324	12.88137578
325	12.87815028
326	12.87658714
327	12.87218915
328	12.86462899
329	12.86361825
330	12.86142208
331	12.85661576
332	12.85100065
333	12.8457317
334	12.84266279
335	12.83677456
336	12.83071498
337	12.8232769
338	12.81889917
339	12.81649847
340	12.81122832
341	12.80767199
342	12.80259004
343	12.80127816
344	12.79864755
345	12.7929191
346	12.79010957
347	12.78915758
348	12.7828483
349	12.77954145
350	12.77651061
351	12.7727134
352	12.76859345
353	12.76654217
354	12.76075429
355	12.75691435
356	12.75353901
357	12.7512473
358	12.7491206
359	12.74760877
360	12.74530571
361	12.74187914
362	12.73962546
363	12.73717777
364	12.73116525
365	12.72596226
366	12.71395921
367	12.71280155
368	12.71135245
369	12.7077414
370	12.70504296
371	12.69953556
372	12.69608989
373	12.69322628
374	12.6909742
375	12.68901544
376	12.68370925
377	12.67868923
378	12.67659852
379	12.67462559
380	12.67395721
381	12.6694001
382	12.65720758
383	12.65387718
384	12.64964919
385	12.64479158
386	12.64225157
387	12.63989748
388	12.63823761
389	12.63235872
390	12.62872819
391	12.62331715
392	12.62145478
393	12.61964863
394	12.61617491
395	12.61294773
396	12.60968167
397	12.60479484
398	12.60088835
399	12.59679167
400	12.59495464
401	12.58945358
402	12.58683961
403	12.5838438
404	12.57994934
405	12.56943651
406	12.56595108
407	12.56496391
408	12.5624433
409	12.56016725
410	12.55745113
411	12.55431094
412	12.55052576
413	12.54732175
414	12.54282762
415	12.54158767
416	12.53750848
417	12.53460777
418	12.53151778
419	12.52787748
420	12.52299852
421	12.52061257
422	12.51843139
423	12.51707055
424	12.51233244
425	12.50875838
426	12.50651345
427	12.50320991
428	12.5007161
429	12.49798817
430	12.49564667
431	12.49260111
432	12.48668908
433	12.48521236
434	12.48246864
435	12.47975827
436	12.47599885
437	12.47301938
438	12.46307638
439	12.46057163
440	12.45787343
441	12.45443476
442	12.45178345
443	12.45001785
444	12.44582886
445	12.44408348
446	12.44070178
447	12.43660897
448	12.43240503
449	12.42931186
450	12.42803668
451	12.42553963
452	12.42405618
